id,device_id,timestamp,temperature,pressure_mbar,humidity,wind_speed_ms,wind_dir_deg,air_density,status
1,jena_weather_node_01,2026-07-20 21:45:15,14.88,1005.8,75.35,7.43,67.8,1216.51,OK
2,jena_weather_node_01,2026-07-20 21:45:16,3.71,960.41,49.18,6.89,67.8,1208.48,OK
3,jena_weather_node_01,2026-07-20 21:45:17,-3.19,975.41,87.82,1.49,253.6,1258.72,OK
4,jena_weather_node_01,2026-07-20 21:45:18,23.82,989.06,37.38,12.38,342.5,1160.25,OK
5,jena_weather_node_01,2026-07-20 21:45:19,31.48,960.34,71.26,4.48,287.8,1098.23,OK
6,jena_weather_node_01,2026-07-20 21:45:20,10.8,964.72,55.22,7.98,50.4,1183.59,OK
7,jena_weather_node_01,2026-07-20 21:45:21,-0.96,1010.13,45.04,5.11,301.5,1292.85,OK
8,jena_weather_node_01,2026-07-20 21:45:22,-4.62,979.38,38.71,10.68,339.0,1270.58,OK
9,jena_weather_node_01,2026-07-20 21:45:23,15.5,1002.61,83.41,5.93,80.8,1210.05,OK
10,jena_weather_node_01,2026-07-20 21:45:24,26.0,960.15,35.65,2.73,253.3,1118.13,OK
11,jena_weather_node_01,2026-07-20 21:45:25,23.66,963.7,52.6,7.45,174.1,1131.11,OK
12,jena_weather_node_01,2026-07-20 21:45:26,1.34,977.04,65.43,10.94,61.6,1240.02,OK
13,jena_weather_node_01,2026-07-20 21:45:27,14.86,993.41,36.41,2.51,89.6,1201.61,OK
14,jena_weather_node_01,2026-07-20 21:45:28,29.57,971.71,50.22,10.6,57.2,1118.25,OK
15,jena_weather_node_01,2026-07-20 21:45:29,12.59,994.16,81.53,6.53,189.6,1212.07,OK
16,jena_weather_node_01,2026-07-20 21:45:30,-3.46,969.1,89.47,11.27,167.3,1251.83,OK
17,jena_weather_node_01,2026-07-20 21:45:31,17.74,1013.32,84.09,4.36,66.1,1213.56,OK
18,jena_weather_node_01,2026-07-20 21:45:32,-2.75,965.19,96.4,8.29,127.8,1243.51,OK
19,jena_weather_node_01,2026-07-20 21:45:33,22.41,998.1,43.02,5.6,351.2,1176.44,OK
20,jena_weather_node_01,2026-07-20 21:45:34,26.81,1001.92,63.75,3.85,133.7,1163.62,OK
21,jena_weather_node_01,2026-07-20 21:45:35,15.05,984.89,35.76,2.73,198.5,1190.52,OK
22,jena_weather_node_01,2026-07-20 21:45:36,5.41,987.01,86.77,0.6,342.3,1234.37,OK
23,jena_weather_node_01,2026-07-20 21:45:37,2.75,1014.69,73.83,8.09,267.0,1281.22,OK
24,jena_weather_node_01,2026-07-20 21:45:38,28.81,995.52,97.7,3.9,148.7,1148.53,OK
25,jena_weather_node_01,2026-07-20 21:45:39,21.35,992.26,71.46,11.45,4.0,1173.77,OK
26,jena_weather_node_01,2026-07-20 21:45:40,16.05,1005.44,90.51,4.92,42.7,1211.16,OK
27,jena_weather_node_01,2026-07-20 21:45:41,-18.99,991.22,51.22,24.0,181.9,1358.64,SEVERE_WEATHER
28,jena_weather_node_01,2026-07-20 21:45:42,24.23,986.72,70.42,6.93,134.4,1155.91,OK
29,jena_weather_node_01,2026-07-20 21:45:43,23.63,1000.93,83.65,6.28,57.1,1174.93,OK
30,jena_weather_node_01,2026-07-20 21:45:44,23.42,983.5,70.86,10.26,184.0,1155.29,OK
31,jena_weather_node_01,2026-07-20 21:45:45,22.73,1009.55,86.93,4.62,184.9,1188.65,OK
32,jena_weather_node_01,2026-07-20 21:45:46,15.97,1000.86,41.09,1.25,121.1,1205.97,OK
33,jena_weather_node_01,2026-07-20 21:45:47,22.51,994.13,50.35,0.75,77.0,1171.37,OK
34,jena_weather_node_01,2026-07-20 21:45:48,0.71,994.44,51.63,11.0,316.6,1265.01,OK
35,jena_weather_node_01,2026-07-20 21:45:49,4.88,990.98,57.57,5.52,292.5,1241.7,OK
36,jena_weather_node_01,2026-07-20 21:45:50,1.6,991.13,90.68,11.36,194.8,1256.71,OK
37,jena_weather_node_01,2026-07-20 21:45:51,-4.29,997.31,69.18,6.13,111.3,1292.25,OK
38,jena_weather_node_01,2026-07-20 21:45:52,9.4,990.31,50.07,1.46,250.8,1221.01,OK
39,jena_weather_node_01,2026-07-20 21:45:53,13.14,995.29,74.87,1.61,7.5,1211.12,OK
40,jena_weather_node_01,2026-07-20 21:45:54,11.18,990.24,78.26,2.49,88.5,1213.28,OK
41,jena_weather_node_01,2026-07-20 21:45:55,31.84,960.91,74.03,10.07,79.1,1097.59,OK
42,jena_weather_node_01,2026-07-20 21:45:56,24.0,966.92,93.07,11.68,342.3,1133.59,OK
43,jena_weather_node_01,2026-07-20 21:45:57,8.38,987.39,84.8,6.95,351.7,1221.82,OK
44,jena_weather_node_01,2026-07-20 21:45:58,15.86,962.71,93.96,6.33,141.6,1160.45,OK
45,jena_weather_node_01,2026-07-20 21:45:59,15.24,982.15,56.79,7.59,312.7,1186.42,OK
46,jena_weather_node_01,2026-07-20 21:46:02,0.33,972.47,42.07,7.5,112.9,1238.78,OK
47,jena_weather_node_01,2026-07-20 21:46:04,-18.12,973.04,57.78,27.7,339.7,1329.17,SEVERE_WEATHER
48,jena_weather_node_01,2026-07-20 21:46:05,31.48,988.51,57.97,3.61,325.7,1130.45,OK
49,jena_weather_node_01,2026-07-20 21:46:06,13.9,960.78,77.42,11.85,112.0,1166.03,OK
50,jena_weather_node_01,2026-07-20 21:46:07,1.32,1011.06,62.4,11.52,207.3,1283.29,OK
51,jena_weather_node_01,2026-07-20 21:46:08,-20.12,1011.85,88.03,24.33,56.0,1393.11,SEVERE_WEATHER
52,jena_weather_node_01,2026-07-20 21:46:09,12.32,988.35,87.19,11.72,40.8,1206.13,OK
53,jena_weather_node_01,2026-07-20 21:46:10,-18.95,1003.05,88.24,24.6,310.8,1374.64,SEVERE_WEATHER
54,jena_weather_node_01,2026-07-20 21:46:11,24.39,983.45,38.63,5.42,144.3,1151.46,OK
55,jena_weather_node_01,2026-07-20 21:46:12,13.91,1011.06,81.56,2.25,140.3,1227.01,OK
56,jena_weather_node_01,2026-07-20 21:46:13,-0.24,972.67,62.7,1.61,51.1,1241.62,OK
57,jena_weather_node_01,2026-07-20 21:46:14,23.74,1007.29,84.37,0.54,81.8,1181.96,OK
58,jena_weather_node_01,2026-07-20 21:46:15,-1.14,973.9,70.18,3.44,328.7,1247.3,OK
59,jena_weather_node_01,2026-07-20 21:46:16,6.3,969.43,55.53,5.35,261.0,1208.52,OK
60,jena_weather_node_01,2026-07-20 21:46:17,22.1,988.29,36.25,10.2,358.1,1166.1,OK
61,jena_weather_node_01,2026-07-20 21:46:18,22.43,1012.08,80.14,6.39,130.1,1192.84,OK
62,jena_weather_node_01,2026-07-20 21:46:19,11.81,997.01,51.46,10.57,211.7,1218.87,OK
63,jena_weather_node_01,2026-07-20 21:46:20,29.08,965.6,53.56,3.07,277.0,1113.02,OK
64,jena_weather_node_01,2026-07-20 21:46:21,18.22,997.28,92.49,1.92,162.8,1192.38,OK
65,jena_weather_node_01,2026-07-20 21:46:22,10.2,999.75,86.51,6.49,53.3,1229.17,OK
66,jena_weather_node_01,2026-07-20 21:46:23,18.3,995.96,67.58,10.63,196.5,1190.48,OK
67,jena_weather_node_01,2026-07-20 21:46:24,21.12,1003.51,88.03,0.3,75.9,1188.0,OK
68,jena_weather_node_01,2026-07-20 21:46:25,4.13,984.48,36.69,4.05,286.0,1236.89,OK
69,jena_weather_node_01,2026-07-20 21:46:26,1.81,1009.49,85.13,3.17,342.0,1279.01,OK
70,jena_weather_node_01,2026-07-20 21:46:27,14.57,980.7,88.15,8.22,87.7,1187.43,OK
71,jena_weather_node_01,2026-07-20 21:46:28,-4.26,1007.2,69.03,10.09,348.0,1304.92,OK
72,jena_weather_node_01,2026-07-20 21:46:29,0.24,970.52,46.64,9.36,233.1,1236.7,OK
73,jena_weather_node_01,2026-07-20 21:46:30,17.2,1006.44,73.73,3.82,189.6,1207.56,OK
74,jena_weather_node_01,2026-07-20 21:46:31,25.92,968.86,64.54,5.4,17.2,1128.58,OK
75,jena_weather_node_01,2026-07-20 21:46:32,9.76,1014.25,94.31,7.47,157.8,1248.93,OK
76,jena_weather_node_01,2026-07-20 21:46:33,22.36,1012.54,54.73,5.12,300.1,1193.66,OK
77,jena_weather_node_01,2026-07-20 21:46:34,-2.69,1012.31,91.49,5.44,80.9,1303.93,OK
78,jena_weather_node_01,2026-07-20 21:46:35,29.8,1005.07,93.55,6.82,239.3,1155.76,OK
79,jena_weather_node_01,2026-07-20 21:46:36,11.1,968.32,45.48,6.02,82.0,1186.75,OK
80,jena_weather_node_01,2026-07-20 21:46:37,29.82,967.4,86.75,10.56,358.6,1112.37,OK
81,jena_weather_node_01,2026-07-20 21:46:38,24.51,980.48,86.89,0.98,18.0,1147.52,OK
82,jena_weather_node_01,2026-07-20 21:46:39,30.0,1001.02,64.98,12.13,271.1,1150.34,OK
83,jena_weather_node_01,2026-07-20 21:46:40,5.71,979.41,84.07,7.15,280.7,1223.55,OK
84,jena_weather_node_01,2026-07-20 21:46:41,11.22,971.35,95.78,1.0,230.7,1189.97,OK
85,jena_weather_node_01,2026-07-20 21:46:42,31.07,984.1,67.04,3.11,266.8,1126.92,OK
86,jena_weather_node_01,2026-07-20 21:46:43,25.42,971.12,65.98,6.58,291.5,1133.1,OK
87,jena_weather_node_01,2026-07-20 21:46:44,0.27,978.85,68.32,1.8,194.2,1247.18,OK
88,jena_weather_node_01,2026-07-20 21:46:45,10.56,984.85,87.73,2.59,104.4,1209.31,OK
89,jena_weather_node_01,2026-07-20 21:46:46,7.27,995.83,93.72,6.89,191.6,1237.14,OK
90,jena_weather_node_01,2026-07-20 21:46:47,-0.36,991.26,35.86,1.53,65.4,1265.91,OK
91,jena_weather_node_01,2026-07-20 21:46:48,24.74,971.23,46.21,9.24,105.5,1135.82,OK
92,jena_weather_node_01,2026-07-20 21:46:49,-3.71,1004.01,78.18,1.05,81.5,1298.13,OK
